record_id,Dataset,Source,Source_Type,Service,Date,Text_Summary,Scenario,Sentiment,Sentiment Score,Location,Latitude,Longitude,X,Y,URL,Privacy_Notes
PN-0001,Public Narrative Dataset,Business Insider,News rider account,Waymo,2026-05-28,"Reporter test ride noted expanded interior space and luggage capacity in a new Waymo Ojai vehicle, with overall positive comfort impressions despite a minor service glitch.",Comfort,Positive,0.35,San Francisco,37.7749,-122.4194,-122.4194,37.7749,https://www.businessinsider.com/waymo-launches-ojai-robotaxi-major-cities-we-tested-it-2026-5,"Paraphrased from public article; no personal identifiers stored."
PN-0002,Public Narrative Dataset,Business Insider,News rider account,Waymo,2026-05-28,"A Waymo Ojai demonstration required rider support after a minor glitch, illustrating that support workflows remain part of the rider experience.",Incident Response,Neutral,0.0,San Francisco,37.7749,-122.4194,-122.4194,37.7749,https://www.businessinsider.com/waymo-launches-ojai-robotaxi-major-cities-we-tested-it-2026-5,"Paraphrased from public article; no personal identifiers stored."
PN-0003,Public Narrative Dataset,Business Insider,News rider account,Waymo,2026-05-28,"The new Waymo vehicle was described as more spacious and better suited to airport-style travel and luggage-heavy trips.",Accessibility/Usability,Positive,0.3,San Francisco,37.7749,-122.4194,-122.4194,37.7749,https://www.businessinsider.com/waymo-launches-ojai-robotaxi-major-cities-we-tested-it-2026-5,"Paraphrased from public article; no personal identifiers stored."
PN-0004,Public Narrative Dataset,San Francisco Chronicle,News report,Waymo,2026-05-29,"Waymo's Ojai rollout was framed around improved weather capability and expansion into more complex regional travel contexts.",Reliability,Positive,0.2,San Francisco,37.7749,-122.4194,-122.4194,37.7749,https://www.sfchronicle.com/sf/article/waymo-tahoe-ojai-weather-22278798.php,"Paraphrased from public article; no personal identifiers stored."
PN-0005,Public Narrative Dataset,San Francisco Chronicle,News report,Waymo,2026-05-29,"Reporting noted cautious driving and weather-adaptive design as part of Waymo's next deployment phase.",Safety/Trust,Positive,0.25,San Francisco,37.7749,-122.4194,-122.4194,37.7749,https://www.sfchronicle.com/sf/article/waymo-tahoe-ojai-weather-22278798.php,"Paraphrased from public article; no personal identifiers stored."
PN-0006,Public Narrative Dataset,Business Insider,News rider account,Waymo,2026-05-27,"A rider's Waymo trip ended early because of a blockage, and support advised using another ridehail service to complete the trip.",Reliability,Negative,-0.35,San Francisco,37.7749,-122.4194,-122.4194,37.7749,https://www.businessinsider.com/waymo-robotaxi-stalls-rider-advised-to-use-uber-or-lyft-2026-5,"Paraphrased from public article; no personal identifiers stored."
PN-0007,Public Narrative Dataset,Business Insider,News rider account,Waymo,2026-05-27,"The premature trip ending raised concerns about service continuity in dense and disrupted urban environments.",Incident Response,Negative,-0.25,San Francisco,37.7749,-122.4194,-122.4194,37.7749,https://www.businessinsider.com/waymo-robotaxi-stalls-rider-advised-to-use-uber-or-lyft-2026-5,"Paraphrased from public article; no personal identifiers stored."
PN-0008,Public Narrative Dataset,Business Insider,News rider account,Waymo,2026-05-27,"The rider was reportedly impressed by prior Waymo precision but less confident about scaling in more complex cities.",Safety/Trust,Neutral,0.05,San Francisco,37.7749,-122.4194,-122.4194,37.7749,https://www.businessinsider.com/waymo-robotaxi-stalls-rider-advised-to-use-uber-or-lyft-2026-5,"Paraphrased from public article; no personal identifiers stored."
PN-0009,Public Narrative Dataset,arXiv Koopman,Academic incident analysis,Cruise,2024-06-07,"Analysis of the October 2023 Cruise pedestrian dragging incident identified failures in object tracking and post-crash behavior.",Safety Concern,Negative,-0.6,San Francisco,37.7749,-122.4194,-122.4194,37.7749,https://arxiv.org/abs/2406.05281,"Paraphrased from public paper; no personal identifiers stored."
PN-0010,Public Narrative Dataset,arXiv Koopman,Academic incident analysis,Cruise,2024-06-07,"The Cruise incident analysis argued that more conservative remote confirmation before movement after a crash could have reduced harm.",Incident Response,Negative,-0.45,San Francisco,37.7749,-122.4194,-122.4194,37.7749,https://arxiv.org/abs/2406.05281,"Paraphrased from public paper; no personal identifiers stored."
PN-0011,Public Narrative Dataset,Wikipedia-cited SF incidents,Public incident summary,Cruise,2022-07-01,"Multiple Cruise vehicles reportedly blocked traffic in San Francisco, creating operational disruption and public visibility for fleet coordination failures.",Vehicle Behavior,Negative,-0.35,San Francisco,37.7749,-122.4194,-122.4194,37.7749,https://en.wikipedia.org/wiki/Cruise_(autonomous_vehicle),"Paraphrased from public summary; verify primary source before publication."
PN-0012,Public Narrative Dataset,Wikipedia-cited SF incidents,Public incident summary,Cruise,2023-03-23,"Two Cruise vehicles reportedly became involved with fallen Muni trolleybus wires after entering a blocked intersection.",Vehicle Behavior,Negative,-0.45,San Francisco,37.7749,-122.4194,-122.4194,37.7749,https://en.wikipedia.org/wiki/Cruise_(autonomous_vehicle),"Paraphrased from public summary; verify primary source before publication."
PN-0013,Public Narrative Dataset,Wikipedia-cited SF incidents,Public incident summary,Cruise,2023-03-24,"A Cruise vehicle reportedly rear-ended a Muni bus on Haight Street, reinforcing concerns about interactions with transit vehicles.",Safety Concern,Negative,-0.45,Haight Street San Francisco,37.7700,-122.4469,-122.4469,37.7700,https://en.wikipedia.org/wiki/Cruise_(autonomous_vehicle),"Paraphrased from public summary; verify primary source before publication."
PN-0014,Public Narrative Dataset,Wikipedia-cited Waymo incidents,Public incident summary,Waymo,2021,"Waymo vehicles reportedly routed repeatedly to a Richmond District dead-end street before turning around, creating neighborhood concern about routing behavior.",Routing,Negative,-0.25,Richmond District San Francisco,37.7806,-122.4700,-122.4700,37.7806,https://en.wikipedia.org/wiki/Waymo,"Paraphrased from public summary; verify primary source before publication."
PN-0015,Public Narrative Dataset,Wikipedia-cited Waymo incidents,Public incident summary,Waymo,2024-08,"Residents near a SoMa lot complained about repeated Waymo honking during vehicle movements, including late-night noise impacts.",Community Impact,Negative,-0.3,SoMa San Francisco,37.7785,-122.4056,-122.4056,37.7785,https://en.wikipedia.org/wiki/Waymo,"Paraphrased from public summary; verify primary source before publication."
PN-0016,Public Narrative Dataset,Wikipedia-cited Waymo incidents,Public incident summary,Waymo,2024-12,"A Waymo vehicle reportedly circled a parking lot with a passenger inside before the issue was resolved remotely.",Incident Response,Negative,-0.3,San Francisco,37.7749,-122.4194,-122.4194,37.7749,https://en.wikipedia.org/wiki/Waymo,"Paraphrased from public summary; verify primary source before publication."
PN-0017,Public Narrative Dataset,Waymo safety paper,Academic safety evidence,Waymo,2023-12-20,"Waymo rider-only crash data through 7.1 million miles was reported as directionally lower than human benchmarks on several safety measures.",Safety/Trust,Positive,0.45,San Francisco,37.7749,-122.4194,-122.4194,37.7749,https://arxiv.org/abs/2312.12675,"Paraphrased from public paper; no personal identifiers stored."
PN-0018,Public Narrative Dataset,Waymo safety paper,Academic safety evidence,Waymo,2025-05-02,"Waymo rider-only crash-rate analysis through 56.7 million miles reported statistically lower rates for several serious crash outcomes compared with human benchmarks.",Safety/Trust,Positive,0.55,San Francisco,37.7749,-122.4194,-122.4194,37.7749,https://arxiv.org/abs/2505.01515,"Paraphrased from public paper; no personal identifiers stored."
PN-0019,Public Narrative Dataset,Waymo-Swiss Re study,Academic safety evidence,Waymo,2023-09-03,"A Waymo comparative safety study reported lower third-party liability claims than a human-driver benchmark in tested service contexts.",Safety/Trust,Positive,0.45,San Francisco,37.7749,-122.4194,-122.4194,37.7749,https://arxiv.org/abs/2309.01206,"Paraphrased from public paper; no personal identifiers stored."
PN-0020,Public Narrative Dataset,The Week,Public commentary,Waymo,2026,"Public commentary around Waymo disruptions framed robotaxi problems as visible neighborhood and service reliability concerns.",Community Impact,Negative,-0.2,San Francisco,37.7749,-122.4194,-122.4194,37.7749,https://theweek.com/puzzles/the-week-contest-waymo-woes,"Paraphrased from public commentary; no personal identifiers stored."
