Service,Scenario,Text,Location,Sentiment,Sentiment Score
Waymo,Fainting,"I passed out in the vehicle, and no one noticed. The car had no driver.",Tenderloin,Neutral,0.0
Waymo,Fainting,"I passed out in the vehicle, and no one noticed. The car had no driver.",Embarcadero,Neutral,0.0
Uber,Fainting,"I passed out in the vehicle, and no one noticed. The driver responded quickly.",Tenderloin,Positive,0.3333333333333333
Waymo,Fainting,"I passed out in the vehicle, and no one noticed. The car had no driver.",SOMA,Neutral,0.0
Uber,Wrong Address,The vehicle dropped me off a block away in the dark. The driver responded quickly.,Embarcadero,Neutral,0.09166666666666666
Waymo,General,"The ride was okay, nothing major to report. It was smooth but felt robotic.",Financial District,Positive,0.215625
Uber,Verbal Distress,I panicked when the vehicle rerouted unexpectedly. The driver responded quickly.,Embarcadero,Positive,0.21666666666666667
Uber,Heart Attack,I felt chest pain during the ride and needed help. The driver responded quickly.,SOMA,Positive,0.3333333333333333
Uber,Fainting,"I passed out in the vehicle, and no one noticed. The driver responded quickly.",Tenderloin,Positive,0.3333333333333333
Waymo,General,"The ride was okay, nothing major to report. It was smooth but felt robotic.",Embarcadero,Positive,0.215625
Uber,Heart Attack,I felt chest pain during the ride and needed help. The driver responded quickly.,SOMA,Positive,0.3333333333333333
Waymo,General,"The ride was okay, nothing major to report. It was smooth but felt robotic.",Tenderloin,Positive,0.215625
Waymo,Verbal Distress,I panicked when the vehicle rerouted unexpectedly. The car had no driver.,Castro,Neutral,0.1
Waymo,Claustrophobia,The enclosed space made me anxious. The car had no driver.,SOMA,Negative,-0.25
Uber,Fainting,"I passed out in the vehicle, and no one noticed. The driver responded quickly.",Castro,Positive,0.3333333333333333
Waymo,Fainting,"I passed out in the vehicle, and no one noticed. The car had no driver.",SOMA,Neutral,0.0
Uber,Verbal Distress,I panicked when the vehicle rerouted unexpectedly. The driver responded quickly.,Mission District,Positive,0.21666666666666667
Waymo,Claustrophobia,The enclosed space made me anxious. The car had no driver.,Tenderloin,Negative,-0.25
Waymo,Heart Attack,I felt chest pain during the ride and needed help. The car had no driver.,Embarcadero,Neutral,0.0
Waymo,Wrong Address,The vehicle dropped me off a block away in the dark. The car had no driver.,Embarcadero,Negative,-0.15
Waymo,Claustrophobia,The enclosed space made me anxious. The car had no driver.,Castro,Negative,-0.25
Uber,Fainting,"I passed out in the vehicle, and no one noticed. The driver responded quickly.",Tenderloin,Positive,0.3333333333333333
Waymo,Verbal Distress,I panicked when the vehicle rerouted unexpectedly. The car had no driver.,SOMA,Neutral,0.1
Waymo,Heart Attack,I felt chest pain during the ride and needed help. The car had no driver.,Tenderloin,Neutral,0.0
Uber,Wrong Address,The vehicle dropped me off a block away in the dark. The driver responded quickly.,Embarcadero,Neutral,0.09166666666666666
Waymo,Heart Attack,I felt chest pain during the ride and needed help. The car had no driver.,SOMA,Neutral,0.0
Uber,Heart Attack,I felt chest pain during the ride and needed help. The driver responded quickly.,Mission District,Positive,0.3333333333333333
Uber,Heart Attack,I felt chest pain during the ride and needed help. The driver responded quickly.,Mission District,Positive,0.3333333333333333
Uber,Verbal Distress,I panicked when the vehicle rerouted unexpectedly. The driver responded quickly.,Tenderloin,Positive,0.21666666666666667
Uber,Heart Attack,I felt chest pain during the ride and needed help. The driver responded quickly.,SOMA,Positive,0.3333333333333333
Waymo,Verbal Distress,I panicked when the vehicle rerouted unexpectedly. The car had no driver.,SOMA,Neutral,0.1
Waymo,Verbal Distress,I panicked when the vehicle rerouted unexpectedly. The car had no driver.,Financial District,Neutral,0.1
Uber,Claustrophobia,The enclosed space made me anxious. The driver responded quickly.,Embarcadero,Neutral,0.04166666666666666
Waymo,Claustrophobia,The enclosed space made me anxious. The car had no driver.,SOMA,Negative,-0.25
Waymo,Heart Attack,I felt chest pain during the ride and needed help. The car had no driver.,Mission District,Neutral,0.0
Uber,Heart Attack,I felt chest pain during the ride and needed help. The driver responded quickly.,SOMA,Positive,0.3333333333333333
Uber,General,"The ride was okay, nothing major to report. Usual experience.",Mission District,Positive,0.10416666666666667
Waymo,Heart Attack,I felt chest pain during the ride and needed help. The car had no driver.,Tenderloin,Neutral,0.0
Waymo,Verbal Distress,I panicked when the vehicle rerouted unexpectedly. The car had no driver.,Tenderloin,Neutral,0.1
Uber,General,"The ride was okay, nothing major to report. Usual experience.",Tenderloin,Positive,0.10416666666666667
Uber,General,"The ride was okay, nothing major to report. Usual experience.",Tenderloin,Positive,0.10416666666666667
Waymo,General,"The ride was okay, nothing major to report. It was smooth but felt robotic.",Tenderloin,Positive,0.215625
Waymo,Fainting,"I passed out in the vehicle, and no one noticed. The car had no driver.",SOMA,Neutral,0.0
Uber,Fainting,"I passed out in the vehicle, and no one noticed. The driver responded quickly.",Mission District,Positive,0.3333333333333333
Uber,Claustrophobia,The enclosed space made me anxious. The driver responded quickly.,Embarcadero,Neutral,0.04166666666666666
Uber,Verbal Distress,I panicked when the vehicle rerouted unexpectedly. The driver responded quickly.,Tenderloin,Positive,0.21666666666666667
Waymo,General,"The ride was okay, nothing major to report. It was smooth but felt robotic.",SOMA,Positive,0.215625
Waymo,Fainting,"I passed out in the vehicle, and no one noticed. The car had no driver.",Tenderloin,Neutral,0.0
Uber,Claustrophobia,The enclosed space made me anxious. The driver responded quickly.,Tenderloin,Neutral,0.04166666666666666
Uber,Heart Attack,I felt chest pain during the ride and needed help. The driver responded quickly.,Tenderloin,Positive,0.3333333333333333
Uber,Wrong Address,The vehicle dropped me off a block away in the dark. The driver responded quickly.,Mission District,Neutral,0.09166666666666666
Waymo,Heart Attack,I felt chest pain during the ride and needed help. The car had no driver.,Embarcadero,Neutral,0.0
Uber,Fainting,"I passed out in the vehicle, and no one noticed. The driver responded quickly.",Mission District,Positive,0.3333333333333333
Waymo,Heart Attack,I felt chest pain during the ride and needed help. The car had no driver.,Castro,Neutral,0.0
Uber,Heart Attack,I felt chest pain during the ride and needed help. The driver responded quickly.,Financial District,Positive,0.3333333333333333
Uber,General,"The ride was okay, nothing major to report. Usual experience.",Financial District,Positive,0.10416666666666667
